"DRUG_NAME"	"TC"	"Correlation"	"PValue"	"Compound..code.or.generic.name."	"Compound..brand.name."	"Target.s."	"Mechanism.of.action"	"Class"	"Highest.Phase"	"Organization"	"mTC"
"1594"	24	"V300"	0.062110803	0.172883764	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	68
"1595"	22	"V164"	0.062048008	0.169784725	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	19
"1596"	13	"V376"	0.062016393	0.171760163	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	90
"1597"	9	"V411"	-0.061957756	0.170845185	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	100
"1598"	9	"V116"	-0.061901012	0.17123789	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	5
"1599"	11	"V227"	-0.061876728	0.170967853	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	46
"1600"	6	"V447"	0.061812189	0.280916333	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	112
"1601"	24	"V173"	0.061804315	0.175016309	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	25
"1602"	19	"V463"	-0.061765766	0.192339661	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	119
"1603"	3	"V241"	-0.061741318	0.171907562	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	48
"1604"	21	"V190"	-0.061678192	0.172346953	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	35
"1605"	3	"V300"	0.061648273	0.172555505	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	68
"1606"	14	"V119"	-0.061616172	0.172779469	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	7
"1607"	2	"V341"	-0.061498238	0.174044762	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	78
"1608"	10	"V364"	-0.06144767	0.215982185	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	87
"1609"	6	"V310"	0.06139128	0.284209822	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	70
"1610"	8	"V344"	-0.061274522	0.17517656	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	79
"1611"	11	"V280"	0.061230065	0.17549029	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	61
"1612"	15	"V100"	-0.061162061	0.21033832	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	2
"1613"	4	"V241"	0.061148917	0.176506774	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	48
"1614"	11	"V413"	-0.061059608	0.176697079	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	102
"1615"	4	"V387"	0.061046958	0.177230232	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	94
"1616"	3	"V376"	0.061037375	0.176854935	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	90
"1617"	20	"V392"	0.061033565	0.177325428	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	95
"1618"	6	"V155"	0.060983774	0.287423156	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	14
"1619"	4	"V294"	-0.060950843	0.177914246	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	65
"1620"	12	"V189"	0.060947263	0.177939764	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	34
"1621"	1	"V466"	-0.060927153	0.178083138	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	121
"1622"	2	"V411"	-0.060904688	0.178243412	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	100
"1623"	14	"V265"	-0.06084953	0.178192845	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	53
"1624"	18	"V447"	-0.060828401	0.181937179	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	112
"1625"	3	"V186"	0.060691689	0.179322855	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	33
"1626"	11	"V387"	0.060682795	0.179386685	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	94
"1627"	11	"V281"	0.060600985	0.179974615	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	62
"1628"	3	"V299"	0.060590016	0.180053552	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	66
"1629"	4	"V461"	0.060581089	0.180563927	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	117
"1630"	1	"V270"	-0.060494031	0.181192023	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	57
"1631"	11	"V211"	-0.060424911	0.181244825	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	42
"1632"	22	"V142"	0.060334105	0.181902492	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	11
"1633"	14	"V352"	-0.060275909	0.182324913	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	83
"1634"	11	"V9"	0.060269839	0.182369014	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	131
"1635"	11	"V9"	0.060269839	0.182369014	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	132
"1636"	14	"V310"	-0.060223893	0.182703087	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	70
"1637"	21	"V197"	0.060145076	0.183277216	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	36
"1638"	9	"V381"	-0.060112929	0.183960597	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	91
"1639"	10	"V142"	0.060045363	0.226660102	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	11
"1640"	16	"V289"	0.059961886	0.184616784	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	63
"1641"	10	"V164"	0.059881735	0.227930099	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	19
"1642"	20	"V413"	-0.059863902	0.185786494	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	102
"1643"	19	"V150"	-0.059818592	0.206757042	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	12
"1644"	2	"V216"	-0.059801893	0.186243225	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	43
"1645"	12	"V24"	0.059772649	0.186458909	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	47
"1646"	17	"V164"	0.059756193	0.186580363	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	19
"1647"	22	"V241"	0.059726605	0.18634785	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	48
"1648"	7	"V13"	-0.05971508	0.192397411	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	10
"1649"	5	"V396"	0.059712235	0.186905069	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	97
"1650"	10	"V190"	-0.059636839	0.229840287	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	35
"1651"	2	"V17"	0.059634201	0.187482514	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	21
"1652"	13	"V182"	-0.059474697	0.190031832	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	31
"1653"	2	"V266"	-0.059470297	0.188699669	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	54
"1654"	10	"V227"	-0.059447432	0.231325425	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	46
"1655"	4	"V24"	-0.059359101	0.189528719	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	47
"1656"	3	"V332"	0.059327922	0.189308416	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	77
"1657"	8	"V352"	0.059284787	0.18963079	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	83
"1658"	18	"V13"	-0.059194152	0.193976945	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	10
"1659"	9	"V126"	0.05910496	0.191433574	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	9
"1660"	24	"V171"	-0.059104488	0.19465401	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	23
"1661"	22	"V172"	-0.05900411	0.191738333	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	24
"1662"	2	"V55"	-0.059001582	0.192212425	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	122
"1663"	24	"V72"	0.058981319	0.195586892	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	125
"1664"	9	"V170"	-0.058842136	0.193418254	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	22
"1665"	19	"V436"	0.058831448	0.214358105	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	109
"1666"	5	"V392"	-0.0587381	0.194208016	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	95
"1667"	22	"V182"	-0.058704016	0.194010636	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	31
"1668"	5	"V332"	0.058679904	0.194650821	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	77
"1669"	17	"V382"	-0.05854379	0.195689391	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	92
"1670"	20	"V171"	-0.058539299	0.195723727	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	23
"1671"	11	"V190"	-0.058522041	0.195398117	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	35
"1672"	17	"V100"	-0.058462537	0.196311288	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	2
"1673"	7	"V413"	-0.058450791	0.2019961	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	102
"1674"	15	"V412"	0.058450299	0.231297498	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	101
"1675"	15	"V357"	0.058434559	0.231423324	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	84
"1676"	8	"V180"	-0.058394112	0.196377853	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	30
"1677"	23	"V352"	0.058373827	0.196533535	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	83
"1678"	16	"V280"	0.058171996	0.19808744	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	61
"1679"	24	"V341"	0.058152721	0.201947786	"Vandetanib"	"Zactima"	"Abl, EGFR, Flt3, C-KIT, RET, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2011"	"AstraZeneca"	78
"1680"	19	"V439"	0.05814976	0.219723149	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	110
"1681"	1	"V404"	-0.058084109	0.19922676	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	98
"1682"	6	"V22"	0.057900881	0.312522377	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	45
"1683"	2	"V376"	0.057867944	0.200906233	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	90
"1684"	17	"V412"	0.057737052	0.201928175	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	101
"1685"	20	"V175"	-0.057725997	0.202014664	"Sorafenib"	"Nexavar"	"Flt3, C-KIT, PDGFRbeta, RET, Raf kinase B, Raf kinase C, VEGFR-1, KDR, FLT4"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Launched-2005"	"Bayer"	26
"1686"	5	"V299"	0.057677348	0.202395571	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	66
"1687"	5	"V311"	-0.057600957	0.202994748	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	71
"1688"	16	"V44"	0.057586866	0.202643012	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	111
"1689"	4	"V180"	-0.057461221	0.204094115	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	30
"1690"	15	"V43"	-0.057460317	0.239305946	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	107
"1691"	10	"V186"	0.057457244	0.247342378	"Nilotinib"	"Tasigna"	"Abl/Bcr-Abl"	"Abl Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"Novartis"	33
"1692"	14	"V275"	-0.057435615	0.203832875	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	59
"1693"	19	"V80"	-0.057413977	0.225621063	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	127
"1694"	4	"V44"	-0.057349809	0.204973733	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	111
"1695"	8	"V270"	-0.05732897	0.204674882	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	57
"1696"	8	"V190"	0.057323525	0.204717935	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	35
"1697"	19	"V32"	-0.057300905	0.226537332	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	72
"1698"	21	"V266"	-0.057126948	0.206276829	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	54
"1699"	4	"V350"	0.05710394	0.206924628	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	82
"1700"	11	"V32"	0.057078282	0.206664083	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	72
"1701"	17	"V367"	-0.057019553	0.207597309	"PHA-665752"	""	"c-MET"	"c-MET Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Pfizer "	88
"1702"	21	"V11"	0.056996493	0.2073161	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	4
"1703"	22	"V358"	-0.056928772	0.207857092	"TKI258"	"Dovitinib"	"EGFR, FGFR1, PDGFRbeta, VEGFR-1, KDR"	"Multi-kinase inhibitor"	"Kinase inhibitor"	"Phase III"	"Novartis"	85
"1704"	19	"V164"	-0.05691505	0.229683998	"RAF265"	""	"Raf kinase B, KDR"	"Raf kinase B and KDR Inhibitor"	"Kinase inhibitor"	"Phase I"	"Novartis"	19
"1705"	13	"V183"	0.056854975	0.21031911	"Panobinostat  "	"Faridak "	"HDAC"	"Histone Deacetylase (HDAC) Inhibitor"	"Other targeted therapies"	"Pre-Registered"	"Novartis"	32
"1706"	5	"V416"	0.056812386	0.209255409	"Erlotinib"	"Tarceva"	"EGFR"	"EGFR  Inhibitor"	"Kinase inhibitor"	"Launched-2004"	"Genentech"	104
"1707"	1	"V383"	-0.056812078	0.209257881	"17-AAG"	"Tanespimycin"	"HSP90"	"Heat Shock Protein 90 (hsp90) Inhibitor"	"Other targeted therapies"	"Phase III"	"Bristol-Myers Squibb"	93
"1708"	6	"V30"	-0.056756262	0.322196834	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	67
"1709"	12	"V28"	-0.056670256	0.210398503	"Paclitaxel"	"Taxol"	"beta-tubulin "	"Microtubule-Stabilizing Agents"	"Cytotoxic"	"Launched-1993"	"Bristol-Myers Squibb"	60
"1710"	15	"V372"	0.05664606	0.246037508	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	89
"1711"	8	"V448"	-0.056623213	0.210310764	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	113
"1712"	14	"V259"	0.056612405	0.210397933	"PD-0325901"	""	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Discontinued"	"Pfizer "	51
"1713"	11	"V463"	-0.056591087	0.210569949	"Nutlin-3"	""	"MDM2"	"MDM2 Inhibitor"	"Other targeted therapies"	"Preclinical"	"Roche"	119
"1714"	4	"V341"	0.056528103	0.211546276	"AZD6244"	"Selumetinib"	"MEK"	"MEK1 and MEK2 Inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	78
"1715"	3	"V259"	0.056495019	0.211346384	"AZD0530"	"Saracatinib"	"Src, Abl/Bcr-Abl, EGFR"	"Src and Abl inhibitor"	"Kinase inhibitor"	"Phase II"	"AstraZeneca"	51
"1716"	16	"V176"	0.056451906	0.211695497	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	27
"1717"	21	"V367"	-0.05636768	0.212378724	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	88
"1718"	2	"V358"	-0.056337342	0.213093609	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	85
"1719"	18	"V405"	-0.056289178	0.216800454	"PLX4720"	""	"RAF "	"Raf kinase B Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Plexxikon"	99
"1720"	6	"V13"	-0.056274206	0.326328869	"Irinotecan"	"Camptosar "	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1994"	"Pfizer "	10
"1721"	23	"V350"	-0.056155031	0.214110779	"Topotecan"	"Hycamtin"	"Topoisomerase I"	"DNA Topoisomerase I Inhibitor"	"Cytotoxic"	"Launched-1996"	"GlaxoSmithKline"	82
"1722"	16	"V439"	0.056150316	0.214149296	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	110
"1723"	16	"V270"	-0.056148259	0.214166097	"PF-2341066"	"Crizotinib"	"c-MET, ALK"	"c-MET and ALK Inhibitor"	"Kinase inhibitor"	"Launched-2011"	"Pfizer "	57
"1724"	15	"V291"	-0.05613251	0.250350559	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	64
"1725"	2	"V270"	-0.056103039	0.215005265	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	57
"1726"	15	"V182"	-0.05606767	0.250898837	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	31
"1727"	8	"V358"	0.056038671	0.215062835	"Lapatinib"	"Tykerb"	"EGFR, HER2"	"EGFR and HER2 Inhibitor"	"Kinase inhibitor"	"Launched-2007"	"GlaxoSmithKline"	85
"1728"	9	"V260"	0.056035196	0.215561082	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	52
"1729"	2	"V80"	0.055905423	0.216627151	"AEW541"	""	"IGF-1R"	"IGF-1R Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	127
"1730"	15	"V329"	-0.055877379	0.252512737	"PD-0332991 "	""	"CDK4/6"	"CDK4/6 Inhibitor"	"Kinase inhibitor"	"Phase II"	"Pfizer "	75
"1731"	7	"V465"	0.055829962	0.222993276	"L-685458"	""	"Gamma Secretase"	"gamma-Secretase Inhibitor"	"Other targeted therapies"	"Preclinical"	"Merck Sharp & Dohme"	120
"1732"	21	"V411"	-0.055824708	0.216821415	"TAE684"	""	"ALK"	"ALK Inhibitor"	"Kinase inhibitor"	"Preclinical"	"Novartis"	100
"1733"	9	"V227"	0.0558157	0.217366429	"LBW242"	""	"IAP"	"Inhibitor of Apoptosis Proteins (IAP) Inhibitor"	"Other targeted therapies"	"Preclinical"	"Novartis"	46
